	Force Plate 1												Force Plate 2												Force Plate 3												Force Plate 4
Sample #	FP1_COP:X	FP1_COP:Y	FP1_COP:Z	FP1_Ref:X	FP1_Ref:Y	FP1_Ref:Z	FP1_Force:X	FP1_Force:Y	FP1_Force:Z	FP1_Moment:X	FP1_Moment:Y	FP1_Moment:Z	FP2_COP:X	FP2_COP:Y	FP2_COP:Z	FP2_Ref:X	FP2_Ref:Y	FP2_Ref:Z	FP2_Force:X	FP2_Force:Y	FP2_Force:Z	FP2_Moment:X	FP2_Moment:Y	FP2_Moment:Z	FP3_COP:X	FP3_COP:Y	FP3_COP:Z	FP3_Ref:X	FP3_Ref:Y	FP3_Ref:Z	FP3_Force:X	FP3_Force:Y	FP3_Force:Z	FP3_Moment:X	FP3_Moment:Y	FP3_Moment:Z	FP4_COP:X	FP4_COP:Y	FP4_COP:Z	FP4_Ref:X	FP4_Ref:Y	FP4_Ref:Z	FP4_Force:X	FP4_Force:Y	FP4_Force:Z	FP4_Moment:X	FP4_Moment:Y	FP4_Moment:Z
1	0	0	0	198.839493	300.407135	0.055876	-0.394882	-0.231213	-0.654119	354.943237	-2.289186	125.865899	0	0	0	202.900341	-304.364990	-0.079583	0.170239	-0.042142	-1.182494	95.977296	105.705615	22.783409	0	0	0	207.643188	-1058.390015	0.077032	-0.500801	-0.169218	0.841135	28.474578	-134.285889	-17.708198	0	0	0	-199.669022	-305.422272	-0.130892	0.094898	-0.007320	1.230980	17.786456	-217.295345	66.990425
2	0	0	0	198.839493	300.407135	0.055876	-0.134401	0.214227	0.759815	-40.501244	-74.516123	-23.054172	0	0	0	202.900341	-304.364990	-0.079583	0.343757	0.048184	0.942451	-125.022074	210.494990	41.004722	0	0	0	207.643188	-1058.390015	0.077032	-0.055684	-0.084682	-1.662416	-197.529287	-205.653301	-73.881915	0	0	0	-199.669022	-305.422272	-0.130892	0.449685	-0.183456	0.876518	-26.807944	-77.441473	-63.182150
3	0	0	0	198.839493	300.407135	0.055876	-0.478825	-0.675968	-3.128338	-260.591177	-40.658621	-97.545057	0	0	0	202.900341	-304.364990	-0.079583	-0.097178	0.398203	-1.537230	-123.606302	-71.914452	59.746440	0	0	0	207.643188	-1058.390015	0.077032	-0.143978	-0.438233	-0.589027	28.479716	-276.769846	-36.311574	0	0	0	-199.669022	-305.422272	-0.130892	0.625887	-0.005884	1.586031	-115.611052	-42.623701	48.267566
4	0	0	0	198.839493	300.407135	0.055876	0.304488	0.482536	-0.300362	-85.435108	100.474407	-4.540096	0	0	0	202.900341	-304.364990	-0.079583	-0.806491	0.041951	0.232502	-123.453486	-107.207673	78.364857	0	0	0	207.643188	-1058.390015	0.077032	-0.412558	0.450899	-0.232724	-287.891565	43.718002	-17.653365	0	0	0	-199.669022	-305.422272	-0.130892	0.360265	0.258457	0.521587	150.229679	28.004129	-63.110528
5	0	0	0	198.839493	300.407135	0.055876	0.570852	-0.048425	0.053405	2.768646	65.884888	-60.228364	0	0	0	202.900341	-304.364990	-0.079583	-0.183177	-0.308904	-0.828767	-168.997816	210.233053	-33.463671	0	0	0	207.643188	-1058.390015	0.077032	-0.321668	0.275092	0.840145	-62.049568	43.594608	-112.186209	0	0	0	-199.669022	-305.422272	-0.130892	0.097259	-0.273599	-1.606790	238.769648	63.238082	-25.897612
6	0	0	0	198.839493	300.407135	0.055876	-0.395114	-0.231130	-0.300652	-128.854668	-4.895818	-23.128458	0	0	0	202.900341	-304.364990	-0.079583	-0.364062	0.220791	-0.121050	140.008174	105.949257	60.050210	0	0	0	207.643188	-1058.390015	0.077032	0.215987	0.275193	0.839519	163.880138	43.603910	-131.303107	0	0	0	-199.669022	-305.422272	-0.130892	0.096621	-0.273250	-0.542593	105.599611	132.923019	11.171116
7	0	0	0	198.839493	300.407135	0.055876	-0.224193	0.391574	2.173582	3.699808	-109.335049	-60.186485	0	0	0	202.900341	-304.364990	-0.079583	0.082129	-0.130970	-1.182581	97.017437	-70.851751	-70.132220	0	0	0	207.643188	-1058.390015	0.077032	0.126777	0.364661	1.197020	118.897445	-241.073709	1.228568	0	0	0	-199.669022	-305.422272	-0.130892	-0.259881	0.080482	1.940204	-27.396566	132.604789	48.263092
8	0	0	0	198.839493	300.407135	0.055876	0.392650	0.394346	0.053184	2.298770	136.007814	88.432797	0	0	0	202.900341	-304.364990	-0.079583	-0.004026	-0.396897	-1.890823	-124.676015	175.137775	-70.582215	0	0	0	207.643188	-1058.390015	0.077032	0.573243	-0.082048	-0.232933	-197.561496	79.281180	-55.529168	0	0	0	-199.669022	-305.422272	-0.130892	0.273242	-0.007577	-0.897306	150.370174	-41.981158	-7.330477
9	0	0	0	198.839493	300.407135	0.055876	0.304737	0.305304	0.760081	3.031523	-4.163828	107.051043	0	0	0	202.900341	-304.364990	-0.079583	-0.097695	-0.219205	0.941927	184.760833	-35.016408	97.387508	0	0	0	207.643188	-1058.390015	0.077032	0.304782	0.185096	0.124465	-61.884378	328.827682	75.852371	0	0	0	-199.669022	-305.422272	-0.130892	0.006769	0.257229	-0.542820	17.146481	62.687419	-26.030301
10	0	0	0	198.839493	300.407135	0.055876	0.219421	-0.316100	1.820573	46.722572	66.131803	-4.445419	0	0	0	202.900341	-304.364990	-0.079583	-0.015375	0.489121	2.712310	52.279664	34.866460	4.152665	0	0	0	207.643188	-1058.390015	0.077032	0.303534	0.183209	-0.948195	-197.526027	8.089044	-36.549872	0	0	0	-199.669022	-305.422272	-0.130892	-0.079801	-0.362372	-1.252134	-27.407708	132.610873	66.848789
